employed Gates;Number of simulationruns;percentage of fans in the stadium;number of fans in the stadium
1;1;24,50909091;674
1;2;24,58181818;676
1;3;24,69090909;679
1;4;24,58181818;676
1;5;24,03636364;661
1;6;24,61818182;677
1;7;24,65454545;678
1;8;24,4;671
1;9;24,47272727;673
1;10;24,43636364;672
2;1;50,21818182;1381
2;2;49,92727273;1373
2;3;50,14545455;1379
2;4;50,58181818;1391
2;5;49,49090909;1361
2;6;50,18181818;1380
2;7;50,47272727;1388
2;8;50,18181818;1380
2;9;50,4;1386
2;10;50,18181818;1380
3;1;77,09090909;2120
3;2;76,87272727;2114
3;3;77,01818182;2118
3;4;77,05454545;2119
3;5;76,72727273;2110
3;6;76,98181818;2117
3;7;76,90909091;2115
3;8;76,94545455;2116
3;9;76,98181818;2117
3;10;76,4;2101
4;1;97,45454545;2680
4;2;96,25454545;2647
4;3;97,23636364;2674
4;4;97,45454545;2680
4;5;95,56363636;2628
4;6;97,45454545;2680
4;7;96,50909091;2654
4;8;97,38181818;2678
4;9;96,87272727;2664
4;10;97,45454545;2680
5;1;100;2750
5;2;99,09090909;2725
5;3;99,74545455;2743
5;4;99,56363636;2738
5;5;99,96363636;2749
5;6;99,27272727;2730
5;7;99,96363636;2749
5;8;98,10909091;2698
5;9;99,96363636;2749
5;10;99,85454545;2746
