Run,Time,Ultra,Impatient,Cancle
1,0,250,1,0
1,1,249,1,0
1,2,207,1,0
1,3,159,1,1
1,4,116,1,1
1,5,79,1,2
1,7,33,1,2
1,8,24,1,2
1,9,19,1,3
1,10,15,1,3
1,11,13,1,4
1,12,12,1,4
1,13,11,1,5
1,14,9,1,5
1,15,8,1,6
1,16,5,1,6
1,17,4,1,7
1,18,2,1,7
1,19,1,1,7
1,20,0,1,8
1,21,0,1,8
1,22,0,0,8
2,0,250,1,0
2,1,248,1,0
2,2,212,1,0
2,3,187,1,1
2,4,124,1,1
2,5,81,1,1
2,7,42,1,2
2,8,31,1,2
2,9,28,1,3
2,10,21,1,3
2,11,19,1,3
2,12,18,1,4
2,13,16,1,4
2,14,15,1,4
2,15,14,1,5
2,16,12,1,5
2,17,11,1,5
2,18,9,1,6
2,19,7,1,6
2,20,6,1,6
2,21,4,1,7
2,22,3,1,7
2,23,2,0,7
2,24,0,0,7
3,0,250,1,0
3,1,248,1,0
3,2,193,1,0
3,3,147,1,1
3,4,99,1,1
3,5,66,1,1
3,7,49,1,2
3,8,28,1,2
3,9,17,1,3
3,10,10,1,3
3,11,9,1,4
3,12,8,1,4
3,13,7,1,4
3,14,6,1,4
3,15,5,1,5
3,16,5,1,5
3,17,4,1,5
3,18,4,1,5
3,19,4,1,5
3,20,3,1,6
3,21,2,1,6
3,22,2,1,6
3,23,0,1,6
3,24,0,0,6
4,0,250,1,0
4,1,247,1,0
4,2,187,1,0
4,3,143,1,1
4,4,94,1,1
4,5,68,1,2
4,7,46,1,2
4,8,25,1,2
4,9,16,1,3
4,10,14,1,3
4,11,10,1,3
4,12,8,1,4
4,13,7,1,4
4,14,6,1,4
4,15,5,1,4
4,16,4,1,5
4,17,4,1,5
4,18,4,1,5
4,19,3,1,6
4,20,2,1,6
4,21,2,0,6
4,22,0,0,6
5,0,250,1,0
5,1,243,1,0
5,2,206,1,0
5,3,162,1,1
5,4,123,1,1
5,5,86,1,2
5,7,59,1,2
5,8,36,1,3
5,9,22,1,3
5,10,14,1,3
5,11,14,1,3
5,12,13,1,4
5,13,9,1,4
5,14,9,1,4
5,15,8,1,5
5,16,7,1,5
5,17,6,1,6
5,18,4,1,6
5,19,2,1,6
5,20,2,1,7
5,21,0,1,7
5,22,0,1,7
5,23,0,0,7

